,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_2007_003091_C-TAL,2.3195924781630826,-0.6600854634663715,-1.2772136690928362,4.163737472811343,0.9702343385434589,-6.776011649690757,-2.1113035008093997,-7.939924990746632,1.505475801689627,1.8268535535247221,-0.9470574722860922,-0.5894121384176636,-0.6929635071958054,-8.841310658533045,C-TAL,Type 1 Diabetes,S_2007_003091
S_2007_003138_C-TAL,3.0493528933533476,-1.4942425409134565,-0.9060925100090518,3.058615545728888,0.2788087222248657,-6.393454847836503,-1.7968727708170544,-8.489959930890183,0.5697665689994453,1.517304925302774,-1.5722376807555747,-1.0700707108910321,-0.9121863896285287,-7.815561967348317,C-TAL,Type 1 Diabetes,S_2007_003138
S_2007_003793_C-TAL,3.851990370086773,-1.7698884083889583,-0.26308411867627446,3.501532278395523,0.7112013427857014,-5.423515260516399,-2.152405977335844,-7.668284022448133,0.445183414389292,1.7707200920017134,-2.0615558273797987,-0.4306362826747497,-1.5150517896260296,-8.06385051009606,C-TAL,Type 1 Diabetes,S_2007_003793
S_2007_003840_C-TAL,2.6155680122895966,-1.7189902673626256,-0.7338359970092645,3.0962349848306916,0.2257681810203706,-5.711799979442012,-1.7837584712032837,-7.798615619482601,-0.21867770684234308,1.2915713234592767,-1.9118295878580385,-0.8415854391524461,-1.3287389764162731,-8.241057638162044,C-TAL,Type 1 Diabetes,S_2007_003840
S_2007_003934_C-TAL,3.394955441126987,-1.8800856134078971,-0.7996677011101175,3.6332456486705125,-0.04739817630413819,-5.669650357177686,-1.9897044516903526,-7.520663906486952,1.9262255260156993,1.704373980689032,-1.6019002375375133,-0.9571582676844731,-1.249080815983999,-8.017035739304504,C-TAL,Type 1 Diabetes,S_2007_003934
S_2007_004028_C-TAL,3.605310696314003,-1.7226628299876448,-0.9812107586725458,3.1185005368801373,0.601698592022693,-3.715232151637752,-2.1442006467340633,-7.037409611709151,-0.15754478657025947,2.226026374606569,-2.1613987437716924,-0.6509941597304006,-0.6531467561942046,-7.801572856043925,C-TAL,Lean Control,S_2007_004028
S_2007_004216_C-TAL,2.6155680122895966,-1.7189902673626256,-0.7338359970092645,3.0962349848306916,0.2257681810203706,-5.711799979442012,-1.7837584712032837,-7.798615619482601,-0.21867770684234308,1.2915713234592767,-1.9118295878580385,-0.8415854391524461,-1.3287389764162731,-8.241057638162044,C-TAL,Lean Control,S_2007_004216
S_2007_004263_C-TAL,3.605310696314003,-1.7226628299876448,-0.9812107586725458,3.1185005368801373,0.601698592022693,-3.715232151637752,-2.1442006467340633,-7.037409611709151,-0.15754478657025947,2.226026374606569,-2.1613987437716924,-0.6509941597304006,-0.6531467561942046,-7.801572856043925,C-TAL,Lean Control,S_2007_004263
S_2103_004019_C-TAL,4.624536155425154,-3.671275640598882,-0.37125038659704385,2.873389238075756,-0.12146453694286385,-4.013866588756916,-1.5114165671263826,-5.512120784089411,-0.350768164364648,1.073596722098088,-2.1215916176688725,-1.9112680463599134,-1.1615903963649652,-9.310514093998846,C-TAL,Type 1 Diabetes,S_2103_004019
S_2103_004028_C-TAL,3.0853281173435065,-0.7135399601552129,-0.415201455241953,1.6245405971600964,1.0196733155713666,-5.614113572233103,-2.5838726257270728,-7.200131059189722,-0.046294821401374836,2.458411678006956,-1.4765286749228095,-0.6953827956087004,-0.9791157503002237,-8.257219292062455,C-TAL,Type 1 Diabetes,S_2103_004028
